ZIP	latitude	longitude	STATE
03840	43.0326	-70.841	NH
03841	42.8818	-71.1788	NH
03844	42.9278	-70.8878	NH
03845	44.1607	-71.0701	NH
03846	44.1835	-71.1888	NH
03848	42.9165	-71.0653	NH
03849	43.9026	-71.1063	NH
03851	43.4385	-71.0147	NH
03852	43.5063	-70.9761	NH
03853	43.6399	-71.2795	NH
03855	43.4603	-71.1418	NH
03856	43.039	-70.9717	NH
03857	43.0694	-70.957	NH
03858	42.868	-71.0433	NH
03860	44.0407	-71.1	NH
03862	42.9787	-70.8301	NH
03864	43.6927	-71.1104	NH
03865	42.8401	-71.0958	NH
03867	43.2994	-71.0466	NH
03868	43.3243	-70.9437	NH
03869	43.221	-70.84	NH
03870	43.0126	-70.7636	NH
03872	43.5784	-71.0312	NH
03873	42.9333	-71.1833	NH
03874	42.8869	-70.8634	NH
03875	43.8727	-71.1826	NH
03878	43.2526	-70.8846	NH
03882	43.7172	-71.0029	NH
03883	43.8358	-71.326	NH
03884	43.2651	-71.1664	NH
03885	43.016	-70.9003	NH
03886	43.8716	-71.2848	NH
03887	43.486	-71.063	NH
03890	43.8362	-71.1955	NH
03894	43.6065	-71.1588	NH
03901	43.2996	-70.8451	ME
03902	43.222	-70.6388	ME
03903	43.1488	-70.7857	ME
03904	43.1112	-70.7357	ME
03906	43.345	-70.778	ME
03907	43.2524	-70.6038	ME
03908	43.2384	-70.748	ME
03909	43.1676	-70.6807	ME
04001	43.5259	-70.922	ME
04002	43.4983	-70.6793	ME
04003	43.7343	-69.9949	ME
04006	43.4459	-70.3445	ME
04008	44.0403	-69.8594	ME
04009	44.0448	-70.7393	ME
04010	43.9816	-70.911	ME
04011	43.9014	-69.9781	ME
04013	43.8	-70.0714	ME
04015	43.9688	-70.5188	ME
04016	44.1735	-70.8726	ME
04017	43.7339	-70.1183	ME
04019	43.6973	-70.1028	ME
04020	43.7699	-70.7777	ME
04022	43.976	-70.7958	ME
04024	43.8274	-70.6591	ME
04027	43.4033	-70.9065	ME
04029	43.8877	-70.6622	ME
04030	43.5998	-70.6954	ME
04032	43.8588	-70.1017	ME
04037	44.0553	-70.9572	ME
04038	43.7029	-70.4584	ME
04039	43.8866	-70.3452	ME
04040	44.0976	-70.6463	ME
04041	43.8776	-70.8341	ME
